Suspicious_Report,Sex,MaritalStatus,RepNumber,Age,High_Risk_Individual,FraudFound_P
1,Male,Single,16,32,0,0
1,Female,Single,1,25,0,0
1,Female,Single,12,23,1,0
1,Male,Single,7,0,0,0
0,Male,Single,9,31,0,0
0,Male,Single,3,0,1,0
1,Male,Married,14,42,0,0
1,Male,Married,11,42,0,0
0,Male,Single,12,19,1,0
1,Male,Married,10,26,0,0
1,Male,Single,3,29,0,0
1,Male,Married,15,29,0,0
0,Male,Married,12,29,0,0
1,Male,Single,9,44,0,0
1,Male,Married,5,49,0,0
1,Female,Married,12,47,0,0
1,Male,Married,16,50,0,0
1,Male,Married,10,50,0,0
1,Male,Married,9,44,0,0
0,Male,Married,1,42,0,0
1,Male,Married,3,49,0,0
0,Male,Married,7,34,0,0
1,Female,Married,16,51,0,0
1,Male,Married,4,39,0,0
0,Female,Married,3,30,0,0
1,Male,Single,5,0,1,0
1,Male,Married,9,47,0,0
1,Female,Married,2,33,0,0
1,Male,Married,7,50,0,0
1,Male,Married,11,78,0,0
1,Male,Married,9,41,0,0
1,Male,Single,11,39,0,0
1,Male,Married,10,33,0,0
1,Male,Single,16,0,0,0
1,Female,Married,1,48,0,0
1,Male,Single,12,0,1,0
1,Male,Single,11,0,1,0
1,Male,Married,4,30,0,0
1,Male,Single,10,0,0,0
1,Male,Married,4,38,0,0
1,Male,Married,8,33,0,0
1,Female,Single,1,38,0,0
1,Male,Married,15,31,0,0
1,Male,Married,1,36,0,0
0,Male,Married,2,27,0,0
1,Female,Married,1,60,0,0
0,Male,Married,2,72,0,0
1,Male,Married,5,44,0,0
1,Male,Single,11,0,0,0
1,Female,Single,10,77,0,0
0,Male,Single,15,40,0,0
1,Male,Single,1,43,0,1
0,Male,Married,14,33,0,0
0,Male,Married,2,36,0,0
0,Male,Single,7,21,1,0
1,Female,Single,2,21,0,0
0,Male,Single,9,33,0,0
1,Male,Married,1,75,0,0
1,Male,Single,7,34,0,0
1,Male,Single,9,31,0,0
1,Male,Married,2,31,0,0
1,Male,Married,5,47,0,0
1,Male,Married,7,46,0,1
1,Male,Single,6,0,1,1
1,Male,Married,10,35,0,0
1,Male,Married,11,31,0,0
1,Female,Single,13,33,0,0
1,Male,Single,15,35,0,0
0,Female,Married,4,45,0,0
1,Male,Single,14,0,0,1
1,Male,Single,12,50,0,0
1,Male,Single,16,0,1,1
1,Female,Single,2,32,0,0
0,Male,Married,2,49,0,0
1,Male,Married,4,53,0,0
1,Male,Married,15,32,0,0
1,Male,Married,8,52,0,0
0,Male,Married,1,41,0,0
1,Female,Single,1,36,0,0
1,Female,Married,7,46,0,0
1,Male,Married,12,32,0,0
0,Male,Married,3,31,0,0
1,Male,Married,5,43,0,0
1,Female,Married,1,30,0,0
1,Male,Married,8,60,0,0
1,Male,Single,11,55,0,0
1,Female,Married,14,29,0,0
1,Male,Single,9,25,0,0
1,Male,Married,11,38,0,0
1,Male,Married,12,26,0,0
1,Male,Married,6,56,0,0
0,Male,Married,3,47,0,0
1,Male,Married,4,29,0,0
1,Male,Single,4,31,0,0
0,Male,Married,13,46,0,0
1,Male,Married,5,60,0,0
1,Male,Single,4,30,0,0
1,Male,Married,10,51,0,0
1,Male,Married,5,80,0,0
1,Male,Married,6,36,0,0
0,Male,Married,7,67,0,0
1,Female,Single,15,58,0,0
1,Female,Single,11,31,0,0
0,Male,Married,10,50,0,0
0,Male,Married,7,50,0,0
1,Female,Married,8,55,0,0
1,Male,Single,8,31,0,0
1,Male,Single,13,23,1,0
0,Male,Married,14,34,0,0
1,Male,Married,1,30,0,0
0,Female,Married,8,45,0,0
1,Male,Married,11,37,0,0
0,Female,Married,3,35,0,0
1,Male,Married,14,30,0,0
1,Male,Married,8,50,0,1
0,Male,Married,13,47,0,0
0,Female,Single,6,26,0,0
1,Male,Married,8,59,0,0
1,Male,Married,14,26,0,0
1,Male,Married,12,51,0,0
1,Male,Single,10,31,0,0
1,Female,Single,3,31,0,0
1,Male,Single,12,35,0,0
1,Female,Single,12,28,0,0
1,Male,Married,8,26,0,0
1,Male,Married,3,31,0,0
1,Male,Married,6,61,0,1
0,Female,Single,4,35,0,0
1,Female,Single,10,31,0,0
0,Male,Married,11,69,0,0
1,Male,Married,7,40,0,0
1,Male,Single,7,28,0,1
0,Male,Married,12,44,0,0
1,Male,Married,10,77,0,0
1,Male,Single,10,29,0,0
0,Male,Married,8,53,0,0
0,Male,Single,11,29,0,0
1,Male,Single,15,25,0,0
0,Male,Single,6,22,0,0
1,Male,Single,8,28,0,0
0,Male,Single,10,22,0,0
1,Male,Married,5,30,0,0
0,Male,Married,5,59,0,0
1,Male,Married,5,46,0,0
1,Male,Single,15,34,0,0
0,Male,Married,8,52,0,0
1,Female,Single,12,26,0,0
1,Male,Married,7,54,0,1
1,Male,Married,4,32,0,0
0,Male,Married,15,28,0,0
0,Female,Married,10,29,0,1
1,Male,Married,12,27,0,0
1,Male,Single,9,36,0,0
1,Female,Married,3,33,0,0
1,Male,Married,7,60,0,0
0,Male,Married,11,34,0,0
1,Male,Married,6,32,0,0
0,Male,Single,2,45,0,0
1,Male,Single,6,38,0,0
1,Female,Single,2,33,0,0
1,Female,Married,2,44,0,0
1,Male,Married,3,80,0,0
0,Male,Married,15,44,0,0
1,Male,Married,2,33,0,0
0,Male,Single,3,29,0,0
0,Male,Married,13,51,0,0
1,Male,Married,7,43,0,0
1,Female,Single,11,29,0,0
1,Male,Single,11,28,0,0
1,Male,Married,7,41,0,0
1,Male,Married,2,50,0,0
1,Male,Single,4,0,0,0
1,Male,Married,1,46,0,0
1,Male,Married,6,45,0,0
1,Male,Married,9,65,0,0
1,Male,Married,1,28,0,0
1,Male,Married,16,67,0,0
0,Male,Single,14,30,0,0
0,Male,Single,10,0,1,0
0,Female,Single,2,50,0,0
0,Male,Single,15,29,0,0
1,Male,Single,15,39,0,0
0,Female,Married,16,47,0,0
0,Male,Single,4,21,1,0
1,Female,Single,8,34,0,0
1,Male,Married,13,32,0,0
1,Female,Single,4,31,0,1
1,Male,Married,8,29,0,0
0,Female,Single,13,32,0,0
1,Male,Married,3,43,0,0
1,Male,Single,3,60,0,0
1,Male,Married,6,35,0,0
0,Male,Married,9,30,0,0
1,Male,Married,8,42,0,0
0,Male,Married,8,38,0,0
1,Male,Married,3,46,0,0
1,Male,Married,15,28,0,0
1,Female,Married,15,73,0,0
0,Female,Married,12,25,0,0
1,Male,Married,13,39,0,0
1,Male,Single,1,47,0,0
0,Male,Single,11,25,0,0
0,Female,Single,11,29,0,0
1,Male,Married,12,52,0,0
1,Male,Married,1,26,0,0
1,Male,Married,6,64,0,0
1,Male,Single,5,28,0,0
1,Male,Married,11,50,0,0
1,Male,Married,11,52,0,0
1,Male,Married,13,41,0,0
0,Male,Married,5,51,0,0
0,Male,Single,5,22,1,0
0,Male,Married,15,37,0,0
1,Male,Married,6,57,0,0
1,Male,Married,10,55,0,0
1,Female,Married,5,51,0,0
0,Male,Single,8,27,0,0
0,Male,Married,5,30,0,0
0,Male,Married,3,37,0,0
1,Male,Married,6,53,0,0
1,Male,Single,1,23,0,0
0,Male,Single,16,0,1,0
1,Male,Married,5,45,0,0
1,Male,Single,5,24,1,0
0,Male,Single,5,28,0,0
0,Male,Married,2,55,0,0
0,Male,Single,7,0,1,0
1,Male,Married,15,49,0,0
1,Male,Married,11,45,0,0
1,Male,Married,12,45,0,0
0,Male,Married,3,48,0,0
1,Male,Married,2,43,0,0
1,Male,Single,9,35,0,0
1,Male,Married,10,74,0,1
0,Male,Married,3,32,0,0
1,Male,Single,2,24,0,0
0,Male,Single,13,30,0,0
0,Male,Married,5,42,0,0
1,Male,Single,1,36,0,1
0,Male,Married,12,39,0,0
1,Male,Single,12,22,0,0
1,Female,Married,13,46,0,0
1,Male,Married,7,58,0,0
0,Male,Married,14,46,0,0
1,Male,Married,12,71,0,0
1,Male,Single,11,42,0,0
1,Male,Married,3,53,0,0
1,Male,Married,8,58,0,0
0,Male,Married,5,33,0,0
1,Male,Single,15,0,0,0
1,Male,Married,13,37,0,1
1,Male,Married,14,53,0,0
1,Female,Married,3,41,0,0
0,Male,Married,10,41,0,0
0,Male,Married,13,34,0,0
1,Male,Married,15,39,0,1
1,Male,Married,16,49,0,0
1,Male,Married,2,61,0,0
0,Male,Married,1,51,0,0
1,Male,Married,7,33,0,1
0,Male,Married,8,80,0,0
1,Male,Married,1,61,0,0
1,Male,Married,13,33,0,1
1,Male,Single,13,31,0,0
1,Male,Married,5,37,0,1
1,Male,Married,11,57,0,0
1,Female,Single,8,32,0,0
1,Male,Married,4,55,0,0
1,Male,Single,12,0,1,1
1,Male,Married,10,38,0,0
1,Male,Married,9,49,0,0
0,Male,Married,6,50,0,0
0,Male,Married,5,48,0,0
1,Male,Married,7,26,0,0
1,Male,Married,8,46,0,0
1,Male,Married,7,64,0,0
1,Male,Single,7,64,0,0
1,Male,Married,3,47,0,0
1,Male,Married,16,26,0,0
1,Male,Married,5,29,0,1
1,Male,Married,1,31,0,0
1,Female,Married,6,38,0,0
0,Male,Married,2,42,0,0
0,Female,Married,13,38,0,0
0,Male,Married,6,37,0,0
1,Male,Married,13,29,0,0
1,Male,Married,9,51,0,1
1,Female,Widow,5,56,0,0
1,Male,Married,9,80,0,0
0,Female,Single,5,33,0,0
1,Male,Married,4,50,0,0
0,Female,Married,5,45,0,0
1,Male,Married,15,26,0,0
1,Male,Married,2,64,0,0
1,Male,Single,8,33,0,0
1,Male,Single,3,23,1,0
1,Male,Married,7,52,0,0
0,Male,Married,5,44,0,0
0,Male,Married,7,65,0,0
0,Male,Married,4,45,0,0
1,Male,Married,14,40,0,0
1,Male,Single,5,29,0,0
0,Male,Single,13,24,0,0
1,Female,Married,7,50,0,0
0,Male,Married,13,38,0,0
1,Male,Married,15,51,0,0
0,Male,Single,2,35,0,0
0,Male,Married,14,28,0,0
0,Male,Single,10,27,0,0
0,Male,Single,12,26,0,0
1,Female,Married,5,26,0,0
1,Male,Married,5,34,0,0
1,Male,Married,10,30,0,0
0,Male,Married,12,33,0,0
1,Female,Married,2,36,0,0
1,Male,Married,3,26,0,0
1,Male,Single,12,30,0,0
1,Male,Married,14,32,0,0
1,Male,Single,16,28,0,0
0,Male,Married,8,64,0,0
1,Male,Single,4,22,0,1
1,Male,Single,7,35,0,0
0,Male,Married,7,33,0,0
1,Male,Married,3,48,0,0
0,Male,Single,10,30,0,0
0,Male,Single,5,29,0,0
1,Male,Married,16,30,0,0
1,Male,Single,4,0,1,0
1,Male,Married,16,34,0,0
1,Male,Married,10,41,0,0
1,Male,Married,15,27,0,0
1,Male,Single,8,28,0,1
0,Female,Married,6,45,0,0
1,Male,Married,15,60,0,0
1,Male,Married,4,52,0,0
1,Female,Married,9,47,0,0
1,Male,Married,16,44,0,0
1,Male,Married,7,31,0,0
1,Male,Married,15,33,0,0
1,Male,Married,4,33,0,0
1,Male,Married,13,55,0,0
1,Male,Married,2,35,0,0
1,Female,Married,10,45,0,0
1,Male,Married,11,59,0,0
1,Male,Single,9,46,0,0
0,Male,Married,9,39,0,0
1,Male,Single,5,35,0,0
0,Female,Married,11,40,0,0
1,Male,Married,3,45,0,0
0,Male,Married,4,76,0,0
0,Male,Married,11,49,0,0
0,Male,Married,14,31,0,0
0,Female,Married,15,44,0,0
0,Male,Married,2,65,0,0
1,Male,Married,13,30,0,1
1,Male,Single,10,34,0,0
0,Male,Married,7,55,0,0
1,Male,Married,2,42,0,1
1,Male,Married,16,38,0,0
1,Male,Married,2,26,0,0
1,Male,Married,6,43,0,0
1,Male,Married,6,38,0,0
1,Male,Married,9,22,0,0
1,Male,Married,16,46,0,0
0,Male,Married,5,39,0,0
0,Male,Married,11,37,0,0
0,Male,Married,2,71,0,0
1,Female,Single,7,27,0,0
0,Male,Married,2,35,0,1
0,Female,Married,15,47,0,0
0,Male,Married,6,34,0,0
1,Male,Married,9,78,0,1
1,Female,Single,12,32,0,0
1,Male,Married,12,41,0,0
1,Male,Married,13,49,0,0
0,Male,Single,5,35,0,0
1,Male,Married,6,28,0,0
1,Male,Married,4,60,0,0
1,Male,Married,1,39,0,0
1,Male,Married,11,56,0,0
1,Male,Married,3,62,0,0
1,Male,Single,2,0,0,0
1,Male,Married,6,25,0,0
0,Male,Married,13,76,0,0
1,Male,Married,3,77,0,0
0,Male,Married,3,55,0,0
0,Female,Single,2,34,0,0
0,Male,Married,5,47,0,0
0,Male,Married,14,48,0,0
0,Female,Single,14,26,0,0
0,Male,Married,15,64,0,0
0,Male,Married,16,37,0,0
0,Male,Married,11,28,0,0
1,Female,Married,16,48,0,0
1,Female,Married,16,42,0,0
1,Female,Single,15,33,0,0
1,Male,Single,8,33,0,1
0,Female,Married,2,42,0,0
1,Male,Married,13,35,0,0
0,Male,Married,4,44,0,0
1,Male,Single,4,34,0,0
0,Male,Single,15,47,0,0
1,Female,Married,9,50,0,0
1,Male,Married,16,31,0,0
0,Male,Married,15,49,0,0
1,Male,Married,16,51,0,0
0,Male,Married,13,40,0,0
1,Female,Married,14,35,0,1
1,Male,Married,7,38,0,0
1,Female,Married,2,37,0,0
0,Male,Single,6,30,0,0
0,Male,Married,13,45,0,0
1,Female,Married,11,29,0,0
1,Male,Single,3,28,0,0
1,Male,Single,1,34,0,0
0,Female,Single,7,29,0,0
0,Male,Single,3,18,0,0
1,Male,Married,4,42,0,0
0,Male,Married,11,38,0,0
1,Male,Married,7,44,0,0
1,Male,Married,15,45,0,0
0,Female,Single,5,35,0,0
1,Male,Married,14,33,0,0
0,Male,Single,14,28,0,0
1,Male,Married,3,42,0,0
1,Male,Married,9,42,0,0
0,Male,Married,5,38,0,0
1,Male,Single,12,28,0,0
0,Male,Married,9,47,0,0
1,Male,Married,5,62,0,0
1,Male,Married,3,57,0,0
1,Female,Married,16,45,0,0
0,Male,Single,15,32,0,0
0,Male,Married,1,49,0,0
1,Male,Married,11,35,0,0
1,Male,Single,11,16,1,0
1,Male,Married,3,30,0,0
1,Female,Single,13,30,0,0
0,Male,Single,13,42,0,0
1,Male,Single,8,78,0,0
1,Male,Single,16,33,0,1
1,Male,Single,15,40,0,0
0,Female,Single,13,36,0,0
1,Male,Single,7,43,0,0
1,Male,Single,10,41,0,0
0,Male,Married,7,36,0,0
0,Female,Married,1,41,0,0
1,Male,Married,10,27,0,0
0,Male,Married,11,32,0,0
1,Male,Married,4,53,0,1
1,Male,Single,16,0,1,0
1,Male,Married,7,39,0,0
1,Male,Married,15,40,0,0
0,Male,Married,2,48,0,0
1,Male,Married,14,43,0,0
1,Male,Married,15,61,0,0
1,Male,Married,10,29,0,0
1,Male,Married,8,51,0,0
0,Female,Single,8,27,0,0
1,Male,Married,10,32,0,0
1,Female,Married,5,27,0,0
1,Male,Married,11,43,0,0
1,Female,Married,8,35,0,0
1,Male,Married,14,45,0,0
1,Female,Married,15,34,0,0
0,Male,Married,8,54,0,0
1,Male,Married,9,24,0,0
1,Female,Single,13,18,0,0
1,Male,Married,11,39,0,1
1,Male,Single,1,36,0,0
1,Male,Married,2,46,0,0
1,Female,Married,1,27,0,0
1,Male,Married,12,30,0,0
1,Male,Married,6,32,0,1
1,Male,Single,7,28,0,0
1,Female,Single,6,27,0,1
0,Male,Married,9,43,0,0
1,Male,Married,1,65,0,0
0,Male,Married,11,43,0,0
0,Male,Married,2,44,0,0
1,Male,Married,9,32,0,0
1,Male,Married,5,32,0,0
1,Male,Married,5,29,0,0
1,Male,Married,11,54,0,0
1,Male,Married,3,54,0,0
1,Male,Married,14,37,0,0
1,Male,Married,8,31,0,0
1,Male,Single,11,27,0,0
0,Male,Married,3,43,0,1
0,Male,Married,8,55,0,0
1,Female,Single,11,33,0,0
0,Male,Single,5,24,0,0
1,Male,Single,3,40,0,0
0,Male,Married,10,45,0,0
1,Male,Married,12,35,0,0
1,Male,Single,6,33,0,1
0,Female,Married,16,52,0,0
0,Male,Single,2,22,1,0
1,Male,Married,14,27,0,1
1,Male,Married,13,50,0,0
1,Male,Married,6,39,0,1
1,Male,Single,10,27,0,0
1,Male,Married,2,57,0,0
1,Female,Single,14,21,1,0
1,Male,Married,8,27,0,0
1,Female,Married,16,30,0,0
0,Female,Single,6,29,0,0
0,Male,Married,15,43,0,0
0,Male,Married,5,54,0,0
1,Male,Single,15,0,1,1
1,Male,Married,13,43,0,0
1,Male,Married,2,65,0,1
1,Male,Widow,14,63,0,0
1,Male,Single,1,35,0,0
0,Male,Married,11,54,0,0
1,Male,Married,7,34,0,0
1,Male,Married,6,44,0,0
0,Female,Married,3,28,0,0
1,Male,Single,8,49,0,0
1,Male,Single,2,31,0,0
1,Male,Married,6,47,0,0
1,Male,Married,9,40,0,0
1,Male,Married,8,34,0,0
1,Female,Married,10,38,0,0
1,Female,Married,5,33,0,0
0,Male,Married,2,58,0,0
0,Male,Married,3,26,0,0
0,Female,Single,12,34,0,0
0,Male,Married,16,44,0,0
0,Male,Married,11,41,0,0
1,Male,Married,13,64,0,0
1,Male,Married,10,45,0,0
0,Male,Single,7,31,0,0
0,Male,Married,1,45,0,0
0,Male,Married,12,47,0,0
0,Male,Single,16,27,0,0
1,Female,Single,6,31,0,0
1,Female,Married,3,50,0,0
1,Male,Married,11,32,0,0
1,Female,Single,9,38,0,1
1,Male,Married,7,33,0,0
0,Female,Single,10,31,0,0
1,Female,Married,13,41,0,0
0,Male,Married,6,36,0,0
1,Male,Married,3,39,0,0
1,Male,Married,6,48,0,1
0,Male,Married,5,31,0,0
0,Female,Married,8,51,0,0
0,Female,Married,13,45,0,0
1,Male,Married,12,24,0,1
1,Male,Single,7,26,0,1
0,Male,Married,16,49,0,0
0,Female,Married,11,41,0,0
1,Male,Single,3,34,0,0
1,Male,Married,13,61,0,1
0,Male,Married,7,44,0,0
1,Male,Married,12,43,0,0
1,Male,Married,16,57,0,1
1,Female,Divorced,7,41,0,0
1,Female,Single,5,26,0,0
0,Male,Married,2,43,0,0
0,Male,Married,9,62,0,0
1,Male,Married,14,60,0,0
1,Male,Married,12,33,0,0
1,Male,Married,16,23,1,0
0,Female,Married,11,45,0,0
0,Male,Married,14,47,0,0
0,Female,Married,4,30,0,0
0,Male,Married,16,36,0,0
0,Male,Married,3,64,0,0
0,Female,Married,2,38,0,0
0,Male,Married,8,34,0,0
1,Male,Married,14,35,0,1
1,Male,Single,14,28,0,0
1,Female,Married,1,39,0,0
0,Male,Married,8,41,0,0
1,Female,Married,6,30,0,0
1,Male,Single,12,19,0,0
0,Male,Married,3,59,0,0
1,Male,Married,8,50,0,0
1,Male,Married,6,46,0,1
0,Male,Single,6,18,0,0
0,Male,Married,16,46,0,0
1,Male,Married,15,27,0,1
1,Male,Single,7,42,0,0
1,Male,Married,9,43,0,0
1,Male,Single,8,24,1,0
1,Male,Married,1,59,0,0
1,Male,Married,3,43,0,1
0,Male,Married,12,46,0,0
0,Male,Married,3,49,0,0
0,Male,Married,1,31,0,0
1,Female,Widow,2,44,0,0
1,Male,Married,7,35,0,1
0,Male,Married,1,65,0,0
1,Male,Married,9,72,0,0
1,Male,Single,4,18,1,1
0,Male,Married,7,60,0,0
1,Male,Married,16,56,0,0
1,Female,Married,14,76,0,1
0,Male,Married,16,51,0,0
0,Male,Married,15,57,0,0
1,Female,Single,8,33,0,0
0,Male,Married,5,65,0,0
0,Male,Married,7,43,0,0
1,Male,Married,4,31,0,0
0,Male,Married,5,41,0,0
1,Male,Single,6,43,0,0
1,Male,Married,11,39,0,0
1,Female,Married,16,63,0,0
0,Male,Single,13,29,0,0
1,Male,Single,8,26,0,0
1,Male,Married,1,40,0,0
0,Male,Married,7,63,0,0
1,Male,Married,6,39,0,0
0,Male,Single,11,30,0,0
0,Male,Married,11,40,0,0
1,Male,Single,12,58,0,0
1,Male,Single,3,35,0,0
1,Male,Married,6,31,0,1
1,Male,Single,10,38,0,0
1,Female,Married,3,37,0,0
0,Female,Single,9,40,0,0
1,Male,Married,7,79,0,1
1,Male,Married,2,34,0,0
1,Male,Single,15,23,1,0
0,Male,Married,6,42,0,0
1,Male,Single,14,40,0,0
0,Male,Married,2,70,0,0
0,Female,Married,16,43,0,0
0,Male,Married,15,54,0,0
0,Male,Married,6,51,0,0
1,Male,Married,7,56,0,0
1,Male,Married,9,37,0,0
1,Male,Married,9,35,0,0
1,Male,Single,5,32,0,0
0,Male,Married,5,43,0,1
0,Male,Married,6,72,0,0
0,Male,Married,6,39,0,0
